code,name,latitude,longitude,border
152,BHTMN07,22.383304,90.808906,0
153,BMAKH03,23.904474,91.216991,0
154,BMAKH03,23.904466,91.216989,0
155,BMASG01,24.040636,91.003331,0
156,BMASG01,24.04064,91.00333,0
157,BMASG02,24.038336,91.011921,0
158,BMASG03,23.983617,90.979061,0
159,BMASG04,24.011307,91.004001,0
160,BMASG05,24.02005,90.98778,0
161,BMASG06,24.042367,91.044142,0
162,BMASG07,24.013827,91.032392,0
163,BMASG10,24.0006,91.024098,0
164,BMASG11,24.034612,91.059479,0
165,BMNBG01,23.88485,90.97019,0
166,BMNBG01,23.88485,90.970193,0
167,BMNBG08,23.897881,91.025678,0
168,BMNBG09,23.904556,90.951344,0
169,BMNBG10,23.86892,90.97478,0
170,BMNBG12,23.95051,90.97544,0
171,BMNBG12,23.950509,90.975443,0
172,BMNBG13,23.96511,91.01931,0
173,BMNBG14,23.938916,91.010851,0
174,BMNBG15,23.8668,91.03349,0
175,BMNBG15,23.866797,91.033493,0
176,BMNBG20,23.86048,90.94257,0
177,BMNBG21,23.911996,90.984102,0
178,BMNBG22,23.887996,90.956597,0
179,BMNBG25,23.899461,91.064616,0
180,BMNBG26,23.851247,90.97074,0
181,BMNNG01,24.1983,91.1953,0
182,BMNNG02,24.115221,91.257145,0
183,BMNNG03,24.21092,91.07846,0
184,BMNNG03,24.210922,91.078459,0
185,BMNNG04,24.230406,91.242811,0
186,BMNNG05,24.15353,91.151552,0
187,BMNNG05,24.153526,91.15156,0
188,BMNNG06,24.196402,91.305403,0
189,BMNNG06,24.1964,91.3054,0
190,BMNNG08,24.150725,91.257301,0
191,BMNNG09,24.17394,91.17104,0
192,BMNNG10,24.1373,91.1996,0
193,BMNNG10,24.137299,91.199595,0
194,BMNNG11,24.203869,91.138814,0
195,BMNNG13,24.19103,91.0516,0
196,BMSDR02,23.9685,91.110056,0
197,BMSDR02,23.9685,91.110064,0
198,BMSDR03,24.05037,91.11399,0
199,BMSDR04,24.05994,91.24786,0
200,BMSDR04,24.05994,91.247859,0
