aa_settings
ac_audit_trails
ac_domains
ac_emp_modules
ac_emp_modules_new
ac_emp_privgroups
ac_emp_privgroups_new
ac_emp_privs
ac_emp_privs_new
ac_emp_privs_wip
ac_emp_roles
ac_emp_roles_wip
ac_emp_suites
ac_emp_suites_new
ac_hbac_login
ac_hbac_mods
ac_hbac_privs
ac_login_histories
ac_online_users
ac_policy
ac_privrequests
ac_privrequests_new
ac_privrequests_wip
ac_privrequests_wip_new
ac_rbac_privs
ac_rbac_privs_wip
ac_rbac_profiles
ac_rbacs
ac_rbacs_wip
ac_role_privs
ac_role_privs_wip
ac_roles
ac_roles_wip
ac_settings
ac_tbac_login
ac_tbac_mods
ac_tbac_privs
ac_users
ac_users_wip
ap_advance_adjust_details
ap_advance_adjust_details_wip
ap_advance_adjusts
ap_advance_adjusts_wip
ap_advance_details
ap_advance_details_wip
ap_advances
ap_advances_wip
ap_debit_memo_details
ap_debit_memo_details_wip
ap_debit_memos
ap_debit_memos_wip
ap_invoice_details
ap_invoice_details_wip
ap_invoices
ap_invoices_wip
ap_journal_details
ap_journals
ap_payment_deductions
ap_payment_deductions_wip
ap_payment_details
ap_payment_details_wip
ap_payments
ap_payments_wip
ap_settings
ap_tax_slabs
ar_collections
ar_collections_details
ar_collections_details_wip
ar_collections_wip
ar_invoice_details
ar_invoice_details_wip
ar_invoices
ar_invoices_wip
ar_journal_details
ar_journals
ar_settings
ar_transaction_details
ar_transaction_details_wip
ar_transactions
ar_transactions_wip
bi_business_metrics
bi_emp_biz_metrics
bi_settings
cca_costcenters
cca_costcenters_temp
cca_costcenters_wip
cca_internal_orders
cca_internal_orders_wip
cca_settings
chn_settings
clc_business_lines
clc_business_lines_wip
clc_customer_accounts
clc_customer_sites
clc_customer_sites_wip
clc_customers
clc_customers_wip
clc_cutomer_business_lines
clc_cutomer_business_lines_wip
clc_cutomers
clc_cutomers_wip
clc_partners
clc_partners_wip
clc_settings
cm_assign_compliance_action_plans
cm_assign_compliance_responsibilitys
cm_clause_output_documents
cm_departments
cm_milestons
cm_reg_clause_guidance
cm_reg_clause_tests
cm_reg_clauses
cm_reg_sections
cm_reg_sub_section_guidance
cm_reg_sub_section_tests
cm_reg_sub_sections
cm_regulations
cm_regulators
cp_settings
csd_settings
ctax_slabs
ctrl_function
db_settings
dms_documents
dms_documents_wip
dms_settings
dp_settings
dps_settings
ed_settings
fa_settings
fbc_settings
ffs_settings
flt_settings
ft_settings
gl_acc_auth_group_accounts
gl_acc_auth_group_users
gl_acc_auth_group_users_wip
gl_acc_authorization_groups
gl_acc_subgroups_controls
gl_acc_subgroups_risks
gl_account_controls
gl_account_controls_wip
gl_account_risks
gl_account_risks_wip
gl_accounts
gl_accounts_temp
gl_accounts_wip
gl_balance_acc_branch_period
gl_balance_acc_branch_qtr
gl_balance_acc_branch_yr
gl_balance_acc_cat_branch_period
gl_balance_acc_cat_branch_qtr
gl_balance_acc_cat_branch_yr
gl_balance_acc_cat_pc_period
gl_balance_acc_cat_pc_qtr
gl_balance_acc_cat_pc_yr
gl_balance_acc_cat_period
gl_balance_acc_cat_project_period
gl_balance_acc_cat_project_qtr
gl_balance_acc_cat_project_yr
gl_balance_acc_cat_qtr
gl_balance_acc_cat_sbu_period
gl_balance_acc_cat_sbu_qtr
gl_balance_acc_cat_sbu_yr
gl_balance_acc_cat_yr
gl_balance_acc_grp_branch_period
gl_balance_acc_grp_branch_qtr
gl_balance_acc_grp_branch_yr
gl_balance_acc_grp_pc_period
gl_balance_acc_grp_pc_qtr
gl_balance_acc_grp_pc_yr
gl_balance_acc_grp_period
gl_balance_acc_grp_project_period
gl_balance_acc_grp_project_qtr
gl_balance_acc_grp_project_yr
gl_balance_acc_grp_qtr
gl_balance_acc_grp_sbu_period
gl_balance_acc_grp_sbu_qtr
gl_balance_acc_grp_sbu_yr
gl_balance_acc_grp_yr
gl_balance_acc_pc_period
gl_balance_acc_pc_qtr
gl_balance_acc_pc_yr
gl_balance_acc_period
gl_balance_acc_project_period
gl_balance_acc_project_qtr
gl_balance_acc_project_yr
gl_balance_acc_qtr
gl_balance_acc_sbu_period
gl_balance_acc_sbu_qtr
gl_balance_acc_sbu_yr
gl_balance_acc_subcat_branch_period
gl_balance_acc_subcat_branch_qtr
gl_balance_acc_subcat_branch_yr
gl_balance_acc_subcat_pc_period
gl_balance_acc_subcat_pc_qtr
gl_balance_acc_subcat_pc_yr
gl_balance_acc_subcat_period
gl_balance_acc_subcat_project_period
gl_balance_acc_subcat_project_qtr
gl_balance_acc_subcat_project_yr
gl_balance_acc_subcat_qtr
gl_balance_acc_subcat_sbu_period
gl_balance_acc_subcat_sbu_qtr
gl_balance_acc_subcat_sbu_yr
gl_balance_acc_subcat_yr
gl_balance_acc_subgrp_branch_period
gl_balance_acc_subgrp_branch_qtr
gl_balance_acc_subgrp_branch_yr
gl_balance_acc_subgrp_pc_period
gl_balance_acc_subgrp_pc_qtr
gl_balance_acc_subgrp_pc_yr
gl_balance_acc_subgrp_period
gl_balance_acc_subgrp_project_period
gl_balance_acc_subgrp_project_qtr
gl_balance_acc_subgrp_project_yr
gl_balance_acc_subgrp_qtr
gl_balance_acc_subgrp_sbu_period
gl_balance_acc_subgrp_sbu_qtr
gl_balance_acc_subgrp_sbu_yr
gl_balance_acc_subgrp_yr
gl_balance_acc_yr
gl_ctax_account_mapping
gl_currency_exrates
gl_currency_exrates_wip
